experiment,param,param_name,actual_corr,model,PEHE,ATE_Bias
feature_correlation,0.9,correlation,0.24140035141130872,T-Learner (Linear),0.27299626915356034,0.07793285600931368
feature_correlation,0.9,correlation,0.24140035141130872,S-Learner (Linear),0.7067304766682084,0.07809644103455698
feature_correlation,0.9,correlation,0.24140035141130872,Naive ATE,0.7093565753794198,0.09908500635620658
feature_correlation,0.9,correlation,0.2430125342011049,T-Learner (Linear),0.18586574497755778,0.12974658962196003
feature_correlation,0.9,correlation,0.2430125342011049,S-Learner (Linear),0.7106182220862779,0.13020166639492844
feature_correlation,0.9,correlation,0.2430125342011049,Naive ATE,0.7053128332472236,0.09716176775964698
feature_correlation,0.9,correlation,0.24705763804139033,T-Learner (Linear),0.14262651809990357,0.053691073433108555
feature_correlation,0.9,correlation,0.24705763804139033,S-Learner (Linear),0.7565803098962611,0.05458912721663592
feature_correlation,0.9,correlation,0.24705763804139033,Naive ATE,0.7568950889872744,0.058791013093888275
skewness,0.0,skewness,0.02386991027323365,T-Learner (Linear),0.26937303528182693,0.09407733506248456
skewness,0.0,skewness,0.02386991027323365,S-Learner (Linear),0.5703944835966888,0.09496210645795577
skewness,0.0,skewness,0.02386991027323365,Naive ATE,0.5728263898507452,0.10861863401293899
skewness,0.0,skewness,-0.001518632946942307,T-Learner (Linear),0.19395258538397128,0.016782987816632268
skewness,0.0,skewness,-0.001518632946942307,S-Learner (Linear),0.5725786103267987,0.016033278068461308
skewness,0.0,skewness,-0.001518632946942307,Naive ATE,0.5723690019294799,0.004132235666276058
skewness,0.0,skewness,0.01114945950119167,T-Learner (Linear),0.18395180623365384,0.005572204921716601
skewness,0.0,skewness,0.01114945950119167,S-Learner (Linear),0.5724475559153361,0.006000773067827009
skewness,0.0,skewness,0.01114945950119167,Naive ATE,0.5728537903156603,0.02238906168172641
skewness,0.0,skewness,0.012222814907251902,T-Learner (Linear),0.21019112423857786,0.001954440475844626
skewness,0.0,skewness,0.012222814907251902,S-Learner (Linear),0.5868176355391963,0.002638250560940813
skewness,0.0,skewness,0.012222814907251902,Naive ATE,0.5868372344151094,0.005473817879993004
skewness,0.0,skewness,-0.008089915841558238,T-Learner (Linear),0.1503071414709515,0.02135981919364182
skewness,0.0,skewness,-0.008089915841558238,S-Learner (Linear),0.5331039350856719,0.02400164302383532
skewness,0.0,skewness,-0.008089915841558238,Naive ATE,0.5347873792265987,0.048721804606041405
skewness,0.0,skewness,0.023704500161549708,T-Learner (Linear),0.23418253915593795,0.10313375113239054
skewness,0.0,skewness,0.023704500161549708,S-Learner (Linear),0.5657738862577908,0.1094374297267913
skewness,0.0,skewness,0.023704500161549708,Naive ATE,0.5557567955539727,0.02724108034537017
skewness,0.0,skewness,0.019698955002917573,T-Learner (Linear),0.2199083228420105,0.0579827151876412
skewness,0.0,skewness,0.019698955002917573,S-Learner (Linear),0.566710927323005,0.05937508127290158
skewness,0.0,skewness,0.019698955002917573,Naive ATE,0.5645628336517939,0.03309559290610433
skewness,0.0,skewness,0.0007205458424806427,T-Learner (Linear),0.15613118118041303,0.011858539647566137
skewness,0.0,skewness,0.0007205458424806427,S-Learner (Linear),0.5597574892875069,0.014632822184254962
skewness,0.0,skewness,0.0007205458424806427,Naive ATE,0.5597990911177869,0.016146054871790945
skewness,0.0,skewness,0.00657321590742564,T-Learner (Linear),0.21456322254062768,0.086550207643095
skewness,0.0,skewness,0.00657321590742564,S-Learner (Linear),0.5591168964541839,0.08207506229381636
skewness,0.0,skewness,0.00657321590742564,Naive ATE,0.5569572912248505,0.0657726097893192
skewness,0.0,skewness,0.016530909847445117,T-Learner (Linear),0.34690670404848933,0.1615148580702492
skewness,0.0,skewness,0.016530909847445117,S-Learner (Linear),0.5583331369881427,0.16322118474754682
skewness,0.0,skewness,0.016530909847445117,Naive ATE,0.5573826749311853,0.15993970615458863
skewness,2.0,skewness,0.5653097350132216,T-Learner (Linear),0.23636586087777134,0.03760953545914647
skewness,2.0,skewness,0.5653097350132216,S-Learner (Linear),0.3866921382658116,0.03642019879797376
skewness,2.0,skewness,0.5653097350132216,Naive ATE,0.4016460506242012,0.1145214873546303
skewness,2.0,skewness,0.40306247491129676,T-Learner (Linear),0.24877342591470075,0.16631961262741218
skewness,2.0,skewness,0.40306247491129676,S-Learner (Linear),0.4218361066882973,0.16421555694771406
skewness,2.0,skewness,0.40306247491129676,Naive ATE,0.4147270384666468,0.14498125628171027
skewness,2.0,skewness,0.502896235431596,T-Learner (Linear),0.18196146263390936,0.04053536850303585
skewness,2.0,skewness,0.502896235431596,S-Learner (Linear),0.3979071777952545,0.04351184877674685
skewness,2.0,skewness,0.502896235431596,Naive ATE,0.3968427653954827,0.03236262179923555
skewness,2.0,skewness,0.4691385819409691,T-Learner (Linear),0.20803751784415186,0.0029047441927873008
skewness,2.0,skewness,0.4691385819409691,S-Learner (Linear),0.3837036029561153,0.003630318624747275
skewness,2.0,skewness,0.4691385819409691,Naive ATE,0.38419879583005556,0.019835297050404432
skewness,2.0,skewness,0.41143860945926064,T-Learner (Linear),0.21920766457934776,0.04777008805506988
skewness,2.0,skewness,0.41143860945926064,S-Learner (Linear),0.39695001011623876,0.04597905043986683
skewness,2.0,skewness,0.41143860945926064,Naive ATE,0.394305059663715,0.004608972171276315
