dgp,n,model,rep,PEHE,ATE_Bias,status
linear,5000,T-Learner (LGBM),1,0.21312438532336989,0.028760993159686554,success
linear,5000,T-Learner (LGBM),2,0.19704128715707406,0.0015118517369737388,success
linear,5000,T-Learner (LGBM),3,0.1890750772798795,0.0328683059960918,success
linear,5000,T-Learner (LGBM),4,0.19520129241870204,0.034107116316385126,success
linear,5000,T-Learner (LGBM),5,0.1956136721643662,0.05451353848996975,success
linear,5000,T-Learner (LGBM),6,0.19329728288713033,0.029889699998836373,success
linear,5000,T-Learner (LGBM),7,0.2100144115615245,0.0024185557751926143,success
linear,5000,T-Learner (LGBM),8,0.19798896546586114,0.06439806247782201,success
linear,5000,T-Learner (LGBM),9,0.17538273452816852,0.015584032274302256,success
linear,5000,X-Learner (LGBM),0,0.5448381703542328,0.002055450118609124,success
linear,5000,X-Learner (LGBM),1,0.5327239356380656,0.02052932700475645,success
linear,5000,X-Learner (LGBM),2,0.5301216244260171,0.004316648479665039,success
linear,5000,X-Learner (LGBM),3,0.5368823059622808,0.01077586115001646,success
linear,5000,X-Learner (LGBM),4,0.5328765142780285,0.011838964063630199,success
linear,5000,X-Learner (LGBM),5,0.5241272342597493,0.007279673786988659,success
linear,5000,X-Learner (LGBM),6,0.5462668282642855,0.018211403932535248,success
linear,5000,X-Learner (LGBM),7,0.5317472526614807,0.013721465533133264,success
linear,5000,X-Learner (LGBM),8,0.5311233000611135,3.306555686750879e-05,success
linear,5000,X-Learner (LGBM),9,0.5345153917715257,0.009512705414995982,success
nonlinear,500,Naive ATE,0,0.7753432588528936,0.12068292405409925,success
nonlinear,500,Naive ATE,1,0.7456049181420683,0.11950503424577108,success
nonlinear,500,Naive ATE,2,0.7200413371505607,0.08343976519364515,success
nonlinear,500,Naive ATE,3,0.7996959784495589,0.05102334133400649,success
nonlinear,500,Naive ATE,4,0.8143055266318503,0.17009554770923474,success
nonlinear,500,Naive ATE,5,0.7753652374410368,0.09983721758838232,success
nonlinear,500,Naive ATE,6,0.8057591789131378,0.21707993955750154,success
nonlinear,500,Naive ATE,7,0.7077068791251355,0.1220741445693137,success
nonlinear,500,Naive ATE,8,0.866123997666684,0.2180582217993287,success
nonlinear,500,Naive ATE,9,0.7436484745239357,0.07838682690171478,success
nonlinear,500,S-Learner (Linear),0,0.7075945704045582,0.05783595535543323,success
nonlinear,500,S-Learner (Linear),1,0.7608479442216526,0.10078858913751332,success
nonlinear,500,S-Learner (Linear),2,0.7281870376683336,0.0031519657070857576,success
nonlinear,500,S-Learner (Linear),3,0.7935704552567858,0.13285923516139803,success
nonlinear,500,S-Learner (Linear),4,0.8156679550272989,0.14467370810107683,success
nonlinear,500,S-Learner (Linear),5,0.7977710264634028,0.023231012968396025,success
nonlinear,500,S-Learner (Linear),6,0.8076763676359976,0.1247938134274112,success
nonlinear,500,S-Learner (Linear),7,0.7717451534366706,0.1403249048725399,success
nonlinear,500,S-Learner (Linear),8,0.7879015395230573,0.022120557133585128,success
nonlinear,500,S-Learner (Linear),9,0.7381534058304555,0.021188004174589548,success
nonlinear,500,T-Learner (Linear),0,0.7521951022835587,0.22017280548083512,success
nonlinear,500,T-Learner (Linear),1,0.76369995137043,0.01504763897480521,success
nonlinear,500,T-Learner (Linear),2,0.730395203779092,0.0312761660905605,success
nonlinear,500,T-Learner (Linear),3,0.828085373741376,0.06901421764830712,success
nonlinear,500,T-Learner (Linear),4,0.788204226760172,0.17572768445442494,success
nonlinear,500,T-Learner (Linear),5,0.7614630639265134,0.01264556644789605,success
nonlinear,500,T-Learner (Linear),6,0.7877610467040583,0.05745386216556514,success
nonlinear,500,T-Learner (Linear),7,0.7184452375184244,0.10205729568804411,success
